weight,height,G,AB,HR
175.0,69.0,41,99.0,2.0
190.0,72.0,33,1.0,0.0
190.0,72.0,23,0.0,0.0
195.0,77.0,30,43.0,0.0
195.0,77.0,7,3.0,0.0
195.0,77.0,31,25.0,1.0
180.0,74.0,21,45.0,4.0
180.0,74.0,14,38.0,0.0
180.0,74.0,16,32.0,2.0
165.0,69.0,17,60.0,0.0
165.0,69.0,41,106.0,2.0
165.0,69.0,22,79.0,1.0
165.0,69.0,35,120.0,1.0
160.0,69.0,54,156.0,0.0
190.0,70.0,4,3.0,0.0
190.0,70.0,12,4.0,0.0
195.0,76.0,16,0.0,0.0
195.0,76.0,5,0.0,0.0
195.0,76.0,3,0.0,0.0
195.0,76.0,48,0.0,0.0
195.0,76.0,37,0.0,0.0
195.0,76.0,29,1.0,0.0
195.0,76.0,23,0.0,0.0
180.0,71.0,84,216.0,2.0
180.0,71.0,126,357.0,9.0
180.0,71.0,139,389.0,3.0
180.0,71.0,76,136.0,1.0
180.0,71.0,96,161.0,1.0
180.0,71.0,12,15.0,0.0
180.0,71.0,85,183.0,1.0
180.0,71.0,95,255.0,10.0
180.0,71.0,76,178.0,4.0
180.0,71.0,60,125.0,4.0
180.0,71.0,18,24.0,0.0
180.0,71.0,31,40.0,3.0
180.0,71.0,32,68.0,3.0
210.0,75.0,8,1.0,0.0
225.0,73.0,8,5.0,0.0
225.0,73.0,5,13.0,0.0
175.0,69.0,30,29.0,0.0
175.0,69.0,3,3.0,0.0
175.0,69.0,36,100.0,0.0
175.0,69.0,30,71.0,0.0
175.0,69.0,32,85.0,0.0
175.0,69.0,30,86.0,1.0
175.0,69.0,30,71.0,0.0
175.0,69.0,35,96.0,0.0
175.0,69.0,22,40.0,1.0
215.0,73.0,54,169.0,1.0
215.0,73.0,7,14.0,0.0
215.0,73.0,7,10.0,0.0
215.0,73.0,50,127.0,1.0
205.0,74.0,4,0.0,0.0
205.0,74.0,5,1.0,0.0
210.0,75.0,155,626.0,25.0
210.0,75.0,154,602.0,20.0
210.0,75.0,135,517.0,3.0
210.0,75.0,23,16.0,0.0
210.0,75.0,101,376.0,8.0
210.0,75.0,94,313.0,5.0
190.0,75.0,17,33.0,0.0
190.0,75.0,35,25.0,0.0
190.0,75.0,32,0.0,0.0
190.0,75.0,35,83.0,0.0
190.0,75.0,24,51.0,0.0
190.0,75.0,18,38.0,0.0
190.0,75.0,16,35.0,0.0
195.0,74.0,3,3.0,0.0
195.0,74.0,23,73.0,2.0
195.0,74.0,51,119.0,5.0
